ID,region,type.of.place.of.residence,wealth.index.combined,sex.of.household.member,age.of.household.members,highest.educational.level.attained,current.marital.status,group
3993,kwazulu-natal,urban,richest,female,44,secondary,never married,3
3994,gauteng,urban,richest,female,35,secondary,married,3
3995,gauteng,urban,richer,male,25,higher,never married,2
3996,gauteng,urban,richer,male,16,secondary,never married,2
3997,gauteng,urban,richer,male,42,higher,married,3
3998,gauteng,urban,richer,female,39,secondary,married,3
3999,gauteng,urban,richer,male,18,secondary,never married,2
4000,free state,rural,richer,female,63,secondary,widowed,4
4001,free state,rural,middle,female,34,secondary,never married,4
4002,free state,rural,middle,female,26,secondary,never married,1
4003,free state,rural,richest,male,51,secondary,married,3
4004,free state,rural,richest,female,48,secondary,married,3
4005,free state,rural,middle,female,71,secondary,widowed,1
4006,free state,rural,middle,male,42,primary,never married,2
4007,free state,rural,poorer,male,46,primary,married,2
4008,free state,rural,poorer,female,50,primary,married,1
4009,free state,rural,middle,female,84,primary,widowed,4
4010,free state,rural,middle,male,21,secondary,never married,2
4011,free state,rural,middle,male,16,secondary,never married,2
4012,free state,rural,middle,male,42,primary,married,4
4013,free state,rural,middle,female,39,secondary,married,1
4014,free state,rural,middle,female,57,primary,never married,3
4015,free state,rural,middle,female,31,secondary,never married,1
4016,free state,rural,richer,male,42,higher,married,4
4017,free state,rural,richer,female,42,secondary,married,3
4018,free state,rural,richer,male,18,secondary,never married,2
4019,gauteng,urban,middle,male,33,secondary,never married,2
4020,gauteng,urban,middle,male,33,secondary,married,4
4021,gauteng,urban,middle,female,26,secondary,never married,1
4022,gauteng,urban,middle,male,36,secondary,never married,3
4023,gauteng,urban,middle,female,57,"no education, preschool",married,3
4024,gauteng,urban,middle,male,34,secondary,never married,4
4025,gauteng,urban,middle,male,42,secondary,never married,4
4026,gauteng,urban,middle,male,44,secondary,never married,1
4027,gauteng,urban,middle,male,46,secondary,never married,2
4028,north west,urban,richer,male,47,primary,divorced/separated,4
4029,north west,urban,middle,male,44,secondary,married,3
4030,north west,urban,middle,male,18,secondary,never married,2
4031,north west,urban,middle,male,24,"no education, preschool",married,2
4032,north west,urban,middle,female,20,primary,married,1
4033,north west,urban,richer,male,56,primary,married,4
4034,north west,urban,richer,male,52,secondary,married,2
4035,north west,urban,richer,female,46,secondary,married,4
4036,north west,urban,richer,female,19,secondary,never married,5
4037,north west,urban,middle,male,43,secondary,married,4
4038,north west,urban,middle,female,30,secondary,married,1
4039,north west,urban,richest,female,30,higher,married,3
4040,north west,urban,richer,male,43,primary,married,2
4041,north west,urban,richer,female,41,primary,married,4
4042,north west,urban,richer,female,15,secondary,never married,2
4043,north west,urban,richer,female,30,"no education, preschool",never married,3
4044,kwazulu-natal,urban,richest,male,62,secondary,married,4
4045,kwazulu-natal,urban,richest,female,60,secondary,married,5
4046,kwazulu-natal,urban,richest,female,20,secondary,never married,1
4047,eastern cape,urban,poorest,male,56,primary,widowed,2
4048,eastern cape,urban,poorest,female,27,secondary,never married,1
4049,eastern cape,urban,poorest,male,20,primary,never married,1
4050,eastern cape,urban,poorest,female,36,secondary,never married,1
4051,eastern cape,urban,poorest,female,23,secondary,never married,1
4052,eastern cape,urban,poorest,male,19,secondary,never married,3
4053,eastern cape,urban,poorest,female,71,secondary,married,5
4054,eastern cape,urban,poorest,female,16,secondary,never married,1
4055,eastern cape,urban,poorest,male,35,secondary,never married,4
4056,eastern cape,urban,poorest,female,27,secondary,never married,1
4057,northern cape,rural,poorer,male,74,primary,married,3
4058,northern cape,rural,poorer,female,71,primary,married,3
4059,northern cape,rural,richer,female,47,secondary,married,1
4060,northern cape,rural,richer,male,22,secondary,never married,4
4061,northern cape,rural,middle,female,28,secondary,married,1
4062,north west,rural,poorest,female,45,primary,never married,3
4063,north west,rural,poorest,male,18,secondary,never married,2
4064,north west,rural,poorer,male,34,primary,never married,1
4065,north west,rural,poorer,female,59,secondary,never married,1
4066,north west,rural,poorer,male,49,secondary,married,1
4067,north west,rural,poorer,female,39,secondary,married,4
4068,north west,rural,middle,male,59,primary,married,2
4069,north west,rural,poorer,male,24,secondary,never married,2
4070,north west,rural,poorer,female,54,primary,never married,1
4071,north west,rural,poorer,male,45,secondary,never married,2
4072,northern cape,urban,middle,male,57,secondary,married,2
4073,northern cape,urban,middle,female,54,primary,married,3
4074,northern cape,urban,middle,female,22,secondary,never married,1
4075,northern cape,urban,middle,female,17,secondary,never married,4
4076,northern cape,urban,middle,male,65,"no education, preschool",widowed,4
4077,northern cape,urban,middle,female,43,primary,never married,1
4078,northern cape,urban,middle,male,19,primary,never married,2
4079,northern cape,urban,middle,female,15,secondary,never married,1
4080,northern cape,urban,poorer,female,47,primary,married,4
4081,northern cape,urban,poorer,male,17,primary,never married,2
4082,northern cape,urban,poorer,male,16,secondary,never married,1
4083,northern cape,urban,middle,female,70,primary,married,4
4084,northern cape,urban,middle,female,28,secondary,never married,2
4085,northern cape,urban,poorer,male,39,secondary,never married,2
4086,northern cape,urban,poorer,female,16,secondary,never married,1
4087,northern cape,urban,middle,female,77,primary,married,4
4088,northern cape,urban,middle,female,50,primary,never married,1
4089,northern cape,urban,middle,male,26,secondary,never married,2
4090,northern cape,urban,middle,male,24,secondary,never married,2
4091,northern cape,urban,middle,male,22,secondary,never married,2
4092,limpopo,rural,poorest,male,52,"no education, preschool",widowed,2
4093,limpopo,rural,poorest,male,20,primary,married,2
4094,limpopo,rural,poorest,female,16,primary,married,1
4095,limpopo,rural,poorest,female,38,secondary,married,3
4096,limpopo,rural,poorest,male,41,secondary,married,2
4097,limpopo,rural,poorest,female,77,"no education, preschool",widowed,3
4098,limpopo,rural,poorest,female,34,primary,never married,2
4099,limpopo,rural,poorest,female,40,primary,never married,1
4100,limpopo,rural,poorest,male,20,secondary,never married,2
4101,limpopo,rural,poorest,female,15,primary,never married,1
4102,limpopo,rural,poorest,female,34,primary,never married,2
4103,limpopo,rural,poorer,female,17,secondary,never married,1
4104,eastern cape,rural,poorest,male,53,primary,married,2
4105,eastern cape,rural,poorest,female,64,secondary,married,3
4106,eastern cape,rural,poorest,female,34,secondary,never married,1
4107,eastern cape,rural,poorest,male,21,secondary,never married,2
4108,eastern cape,rural,poorest,male,17,secondary,never married,2
4109,eastern cape,rural,poorest,male,58,"no education, preschool",never married,2
4110,eastern cape,rural,poorer,female,24,secondary,married,1
4111,eastern cape,rural,poorer,male,18,secondary,never married,2
4112,eastern cape,rural,poorest,female,64,"no education, preschool",widowed,1
4113,eastern cape,rural,poorest,female,40,secondary,married,1
4114,eastern cape,rural,poorest,male,17,secondary,never married,2
4115,eastern cape,rural,poorest,female,23,secondary,never married,1
4116,eastern cape,urban,poorer,male,58,"no education, preschool",never married,2
4117,eastern cape,urban,middle,male,51,primary,never married,4
4118,eastern cape,urban,middle,female,55,"no education, preschool",widowed,4
4119,eastern cape,urban,middle,male,69,secondary,married,4
4120,eastern cape,urban,middle,female,64,primary,married,4
4121,eastern cape,urban,middle,female,68,"no education, preschool",widowed,3
4122,eastern cape,urban,middle,female,30,secondary,never married,1
4123,eastern cape,urban,middle,female,27,secondary,never married,3
4124,eastern cape,urban,middle,female,18,secondary,never married,1
4125,eastern cape,urban,middle,female,16,secondary,never married,2
4126,eastern cape,urban,richer,female,45,primary,never married,4
4127,eastern cape,urban,poorest,male,41,secondary,never married,2
4128,eastern cape,urban,poorest,male,58,primary,never married,4
4129,eastern cape,urban,middle,male,36,secondary,married,2
4130,eastern cape,urban,middle,female,35,secondary,married,3
4131,eastern cape,urban,middle,male,17,secondary,never married,1
4132,north west,rural,poorest,female,27,primary,never married,1
4133,north west,rural,poorest,male,37,primary,never married,2
4134,north west,rural,richer,male,66,higher,married,3
4135,north west,rural,richer,female,65,higher,married,2
4136,north west,rural,poorest,male,34,secondary,married,1
4137,north west,rural,poorest,female,27,primary,married,1
4138,north west,rural,richer,male,78,secondary,widowed,2
4139,north west,rural,poorest,male,74,"no education, preschool",widowed,4
4140,north west,rural,poorest,female,47,primary,married,1
4141,north west,rural,poorest,female,27,primary,never married,2
4142,north west,rural,poorest,female,21,primary,never married,3
4143,north west,rural,poorest,male,39,secondary,never married,4
4144,north west,rural,poorest,male,70,"no education, preschool",married,4
4145,north west,rural,poorest,male,18,primary,never married,2
4146,limpopo,urban,poorest,female,17,secondary,never married,1
4147,limpopo,urban,poorer,female,27,secondary,married,1
4148,limpopo,urban,poorest,female,43,don't know,never married,1
4149,limpopo,urban,poorest,female,19,secondary,never married,1
4150,limpopo,urban,poorest,female,17,secondary,never married,1
4151,limpopo,urban,poorest,male,15,primary,never married,1
4152,limpopo,urban,poorer,female,86,"no education, preschool",widowed,4
4153,limpopo,urban,middle,male,64,secondary,never married,3
4154,limpopo,urban,poorest,female,36,secondary,never married,1
4155,limpopo,urban,poorer,male,28,secondary,never married,2
4156,limpopo,urban,poorer,male,23,secondary,never married,2
4157,limpopo,urban,poorer,female,17,secondary,never married,1
4158,limpopo,urban,poorer,female,15,secondary,never married,1
4159,limpopo,urban,poorer,male,15,primary,never married,1
4160,limpopo,urban,poorer,male,61,"no education, preschool",married,1
4161,north west,rural,middle,female,53,secondary,never married,3
4162,north west,rural,middle,male,15,don't know,never married,1
4163,north west,rural,middle,male,56,secondary,married,2
4164,north west,rural,middle,female,50,secondary,married,5
4165,north west,rural,middle,female,23,secondary,never married,1
4166,north west,rural,middle,female,18,secondary,never married,1
4167,north west,rural,middle,female,26,secondary,never married,1
4168,north west,rural,middle,female,23,secondary,never married,1
4169,north west,rural,poorest,female,29,secondary,married,1
4170,north west,rural,poorest,female,72,primary,widowed,2
4171,north west,rural,poorer,male,32,primary,married,2
4172,north west,rural,poorer,female,27,primary,married,1
4173,north west,rural,middle,male,52,don't know,married,2
4174,north west,rural,middle,female,45,don't know,married,3
4175,north west,rural,middle,male,19,secondary,never married,2
4176,north west,rural,middle,male,18,secondary,never married,2
4177,kwazulu-natal,rural,middle,female,45,secondary,never married,2
4178,kwazulu-natal,rural,middle,male,26,secondary,never married,2
4179,kwazulu-natal,rural,poorer,male,45,secondary,never married,4
4180,kwazulu-natal,rural,poorer,male,28,secondary,never married,2
4181,kwazulu-natal,rural,poorer,male,60,primary,never married,1
4182,kwazulu-natal,rural,poorer,female,43,secondary,never married,4
4183,kwazulu-natal,rural,poorer,female,23,secondary,never married,2
4184,kwazulu-natal,rural,poorer,female,19,secondary,never married,1
4185,kwazulu-natal,rural,poorer,female,19,secondary,never married,2
4186,kwazulu-natal,rural,poorer,female,67,"no education, preschool",widowed,3
4187,kwazulu-natal,rural,poorer,female,21,secondary,never married,1
4188,kwazulu-natal,rural,poorer,female,20,secondary,never married,1
4189,kwazulu-natal,rural,poorer,female,18,secondary,never married,1
4190,kwazulu-natal,rural,poorer,female,54,secondary,never married,1
4191,kwazulu-natal,rural,poorer,male,47,primary,never married,2
